Distance_(pixels),Gray_Value
0,23943.336
1,24011.443
2,24119.615
3,24183.322
4,24122.068
5,24021.719
6,24262.268
7,24502.291
8,24482.859
9,24435.127
10,24435.271
11,24421.439
12,24427.027
13,24464.701
14,24504.812
15,24605.924
16,24663.807
17,24523.254
18,24597.900
19,24832.404
20,24918.373
21,25018.889
22,25259.580
23,25461.330
24,25492.857
25,25550.178
26,25570.473
27,25634.535
28,25725.607
29,25770.072
30,25780.752
31,25791.656
32,25925.254
33,26049.166
34,26247.598
35,26414.691
36,26473.645
37,26765.629
38,26958.613
39,26941.578
40,27074.723
41,27176.850
42,27273.867
43,27367.375
44,27400.895
45,27450.361
46,27521.430
47,27792.078
48,27894.365
49,27805.811
50,27810.021
51,27782.463
52,27832.580
53,28014.062
54,28001.031
55,28122.525
56,28147.549
57,28033.621
58,28145.754
59,28264.848
60,28146.281
61,28225.389
62,28290.852
63,28187.789
64,28351.928
65,28530.562
66,28499.383
67,28510.219
68,28581.316
69,28584.975
70,28644.809
71,28839.713
72,29498.469
73,30200.738
74,30657.459
75,31083.471
76,31383.834
77,31595.551
78,31577.436
79,31657.982
80,31518.295
81,31653.656
82,31794.053
83,31761.375
84,31661.809
85,31770.193
86,31818.623
87,31722.008
88,31650.504
89,31677.301
90,31531.369
91,31452.396
92,31251.145
93,31223.525
94,30848.982
95,30298.270
96,29739.193
97,29378.502
98,29226.393
99,29222.652
100,29220.688
101,29090.730
102,29032.750
103,29053.240
104,29037.830
105,28988.416
106,28953.725
107,29030.270
108,29116.391
109,28995.613
110,28895.301
111,28855.258
112,28918.869
113,28836.961
114,29065.570
115,28960.982
116,28909.283
117,28948.633
118,28896.852
119,28961.010
120,28862.406
121,28878.842
122,28974.826
123,28911.979
124,28964.486
125,28986.877
126,29061.012
127,29113.824
128,29057.348
129,29092.797
130,29179.068
131,28958.012
132,28953.725
133,28892.482
134,28849.182
135,28977.988
136,28898.727
137,28833.551
138,28848.236
139,28803.219
140,28819.365
141,28763.332
142,28686.568
143,28518.020
144,28682.396
145,28697.348
146,28679.471
147,28665.799
148,28653.426
149,28687.730
150,28636.688
151,28532.086
152,28407.295
153,28263.467
154,28385.537
155,28358.066
156,28137.496
157,28140.529
158,28282.230
159,28286.643
160,28308.369
161,28156.949
162,28113.461
163,27997.594
164,28032.830
165,28000.742
166,27791.236
167,27617.148
168,27296.123
